Id|Brent oil price|East Asia LNG price|Europe Continental gas price|Henry Hub Gas price Forward Case|Henry Hub Gas price High Case|Henry Hub Gas price Low Case|Henry Hub Gas price Mid Case|UK gas price|Henry Hub gas price|Brent Oil price Forward Case|Brent Oil price High Case|Brent Oil price Low Case|Brent Oil price Mid Case|WTI Cushing oil price|Year|Brent Oil price Low Low Case|Brent Oil price Mid Low Case|Brent Oil price Low Low Low Case|Brent Oil price Mid Low Low Case|Brent Oil price Mid Mid Low Case|Brent Oil price Mid Mid Low Low Case|Henry Hub Gas price Low Low Low Case|Henry Hub Gas price Mid Low Low Case|Henry Hub Gas price Mid Mid Low Case|Henry Hub Gas price Mid Mid Low Low Case
40|1.019999981|0.05999999866|0.1099999994|0.1000000015|0.1000000015|0.1000000015|0.1000000015|0.1099999994|0.1000000015|1.019999981|1.019999981|1.019999981|1.019999981|1.019999981|1939|1.019999981|1.019999981|1.0199999809265137|1.0199999809265137|1.0199999809265137|1.0199999809265137|0.10000000149011612|0.10000000149011612|0.10000000149011612|0.10000000149011612
42|1.139999986|0.05999999866|0.1099999994|0.1099999994|0.1099999994|0.1099999994|0.1099999994|0.1099999994|0.1099999994|1.139999986|1.139999986|1.139999986|1.139999986|1.139999986|1941|1.139999986|1.139999986|1.1399999856948853|1.1399999856948853|1.1399999856948853|1.1399999856948853|0.10999999940395355|0.10999999940395355|0.10999999940395355|0.10999999940395355
43|1.190000057|0.05999999866|0.1099999994|0.1199999973|0.1199999973|0.1199999973|0.1199999973|0.1099999994|0.1199999973|1.190000057|1.190000057|1.190000057|1.190000057|1.190000057|1942|1.190000057|1.190000057|1.190000057220459|1.190000057220459|1.190000057220459|1.190000057220459|0.11999999731779099|0.11999999731779099|0.11999999731779099|0.11999999731779099
48|1.899999976|0.07999999821|0.150000006|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.150000006|0.1899999976|1.899999976|1.899999976|1.899999976|1.899999976|1.840000033|1947|1.899999976|1.899999976|1.8999999761581421|1.8999999761581421|1.8999999761581421|1.8999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421
53|1.710000038|0.09000000358|0.1700000018|0.1700000018|0.1700000018|0.1700000018|0.1700000018|0.1700000018|0.1700000018|1.710000038|1.710000038|1.710000038|1.710000038|2.569999933|1952|1.710000038|1.710000038|1.7100000381469727|1.7100000381469727|1.7100000381469727|1.7100000381469727|0.17000000178813934|0.17000000178813934|0.17000000178813934|0.17000000178813934
56|1.929999948|0.1099999994|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1899999976|1.929999948|1.929999948|1.929999948|1.929999948|2.819999933|1955|1.929999948|1.929999948|1.9299999475479126|1.9299999475479126|1.9299999475479126|1.9299999475479126|0.18999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421
58|1.899999976|0.1199999973|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.1899999976|1.899999976|1.899999976|1.899999976|1.899999976|3.039999962|1957|1.899999976|1.899999976|1.8999999761581421|1.8999999761581421|1.8999999761581421|1.8999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421
61|1.899999976|0.1299999952|0.200000003|0.1899999976|0.1899999976|0.1899999976|0.1899999976|0.200000003|0.1899999976|1.899999976|1.899999976|1.899999976|1.899999976|2.970000029|1960|1.899999976|1.899999976|1.8999999761581421|1.8999999761581421|1.8999999761581421|1.8999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421|0.18999999761581421
62|1.799999952|0.1299999952|0.1899999976|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1899999976|0.1800000072|1.799999952|1.799999952|1.799999952|1.799999952|2.970000029|1961|1.799999952|1.799999952|1.7999999523162842|1.7999999523162842|1.7999999523162842|1.7999999523162842|0.18000000715255737|0.18000000715255737|0.18000000715255737|0.18000000715255737
66|1.799999952|0.1299999952|0.1800000072|0.1800000072|0.1800000072|0.1800000072|0.1800000072|93.720001221|0.1800000072|1.799999952|1.799999952|1.799999952|1.799999952|2.920000076|1965|1.799999952|1.799999952|1.7999999523162842|1.7999999523162842|1.7999999523162842|1.7999999523162842|0.18000000715255737|0.18000000715255737|0.18000000715255737|0.18000000715255737
72|2.24000001|0.1400000006|0.200000003|0.2199999988|0.2199999988|0.2199999988|0.2199999988|0.2099999934|0.2199999988|2.24000001|2.24000001|2.24000001|2.24000001|3.559999943|1971|2.24000001|2.24000001|2.2400000095367432|2.2400000095367432|2.2400000095367432|2.2400000095367432|0.2199999988079071|0.2199999988079071|0.2199999988079071|0.2199999988079071
74|3.289999962|0.2300000042|0.2800000012|0.3300000131|0.3300000131|0.3300000131|0.3300000131|0.3000000119|0.3300000131|3.289999962|3.289999962|3.289999962|3.289999962|3.869999886|1973|3.289999962|3.289999962|3.2899999618530273|3.2899999618530273|3.2899999618530273|3.2899999618530273|0.33000001311302185|0.33000001311302185|0.33000001311302185|0.33000001311302185
76|11.529999733|0.8999999762|1.120000005|1.149999976|1.149999976|1.149999976|1.149999976|1.200000048|1.149999976|11.529999733|11.529999733|11.529999733|11.529999733|11.159999847|1975|11.529999733|11.529999733|11.529999732971191|11.529999732971191|11.529999732971191|11.529999732971191|1.1499999761581421|1.1499999761581421|1.1499999761581421|1.1499999761581421
77|12.380000114|0.9399999976|1.149999976|1.24000001|1.24000001|1.24000001|1.24000001|1.230000019|1.24000001|12.380000114|12.380000114|12.380000114|12.380000114|12.649999619|1976|12.380000114|12.380000114|12.380000114440918|12.380000114440918|12.380000114440918|12.380000114440918|1.2400000095367432|1.2400000095367432|1.2400000095367432|1.2400000095367432
78|13.300000191|0.9300000072|1.220000029|1.330000043|1.330000043|1.330000043|1.330000043|1.330000043|1.330000043|13.300000191|13.300000191|13.300000191|13.300000191|14.300000191|1977|13.300000191|13.300000191|13.300000190734863|13.300000190734863|13.300000190734863|13.300000190734863|1.3300000429153442|1.3300000429153442|1.3300000429153442|1.3300000429153442
80|30.030000687|1.549999952|2.059999943|3|3|3|3|2.25|3|30.030000687|30.030000687|30.030000687|30.030000687|22.399999619|1979|30.030000687|30.030000687|30.030000686645508|30.030000686645508|30.030000686645508|30.030000686645508|3|3|3|3
81|35.689998627|2.309999943|3.109999895|3.569999933|3.569999933|3.569999933|3.569999933|3.390000105|3.569999933|35.689998627|35.689998627|35.689998627|35.689998627|37.380001068|1980|35.689998627|35.689998627|35.689998626708984|35.689998626708984|35.689998626708984|35.689998626708984|3.5699999332427979|3.5699999332427979|3.5699999332427979|3.5699999332427979
86|27.530000687|1.840000033|2.599999905|2.75|2.75|2.75|2.75|2.869999886|2.75|27.530000687|27.530000687|27.530000687|27.530000687|27.969999313|1985|27.530000687|27.530000687|27.530000686645508|27.530000686645508|27.530000686645508|27.530000686645508|2.75|2.75|2.75|2.75
87|14.380000114|1.370000005|1.950000048|1.440000057|1.440000057|1.440000057|1.440000057|2.170000076|1.440000057|14.380000114|14.380000114|14.380000114|14.380000114|15.050000191|1986|14.380000114|14.380000114|14.380000114440918|14.380000114440918|14.380000114440918|14.380000114440918|1.440000057220459|1.440000057220459|1.440000057220459|1.440000057220459
88|18.420000076|1.080000043|1.529999971|1.840000033|1.840000033|1.840000033|1.840000033|1.690000057|1.840000033|18.420000076|18.420000076|18.420000076|18.420000076|19.200000763|1987|18.420000076|18.420000076|18.420000076293945|18.420000076293945|18.420000076293945|18.420000076293945|1.8400000333786011|1.8400000333786011|1.8400000333786011|1.8400000333786011
89|15.800000191|1.139999986|1.600000024|1.700000048|1.700000048|1.700000048|1.700000048|1.769999981|1.700000048|15.800000191|15.800000191|15.800000191|15.800000191|15.970000267|1988|15.800000191|15.800000191|15.800000190734863|15.800000190734863|15.800000190734863|15.800000190734863|1.7000000476837158|1.7000000476837158|1.7000000476837158|1.7000000476837158
