Id|FK_OilAndGas|FK_Asset|FK_OtherParameter|FK_LifeCycleTS|FK_LifeCycle|FK_Company|FK_HistoricCompany|FK_Reserves|FK_OilAndGasType|1P Reserves|2P Reserves|Original Resources|Remaining Resources|1P Reserves Forward Case|1P Reserves High Case|1P Reserves Low Case|1P Reserves Mid Case|1P Reserves  Low Low Case|1P Reserves Mid Low Case|1P Reserves Low Low Low Case|1P Reserves Mid Low Low Case|1P Reserves Mid Mid Low Case|1P Reserves Mid Mid Low Low Case|2P Reserves Forward Case|2P Reserves High Case|2P Reserves Low Case|2P Reserves Mid Case|2P Reserves  Low Low Case|2P Reserves Mid Low Case|2P Reserves Low Low Low Case|2P Reserves Mid Low Low Case|2P Reserves Mid Mid Low Case|2P Reserves Mid Mid Low Low Case|Original Resources Forward Case|Original Resources High Case|Original Resources Low Case|Original Resources Mid Case|Original Resources  Low Low Case|Original Resources Mid Low Case|Original Resources Low Low Low Case|Original Resources Mid Low Low Case|Original Resources Mid Mid Low Case|Original Resources Mid Mid Low Low Case|Remaining Resources Forward Case|Remaining Resources High Case|Remaining Resources Low Case|Remaining Resources Mid Case|Remaining Resources  Low Low Case|Remaining Resources Mid Low Case|Remaining Resources Low Low Low Case|Remaining Resources Mid Low Low Case|Remaining Resources Mid Mid Low Case|Remaining Resources Mid Mid Low Low Case
901691|12|119380|3|25|3|8924|8924|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6.1500000953674316|6.2100000381469727|0|6.2100000381469727|0|6.2100000381469727|0|0|0|0|0|0|0|0|0|0|0|0|0|0
901718|12|119380|111|25|3|685|685|5|6|0|0|-4.929999828|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-4.7600002288818359|0|-4.6599998474121094|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
995060|4|192071|111|31|31|685|685|2|11|0|0|0|-0.5289999843|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.5429999828338623|0|-0.50199997425079346|-0.55699998140335083|-0.50199997425079346|-0.54900002479553223|-0.50199997425079346|-0.52100002765655518|-0.55400002002716064|-0.53600001335144043
995079|12|192071|111|31|31|18340|18340|2|8|0|0|0|-0.4539999962|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.46500000357627869|0|-0.43000000715255737|-0.47699999809265137|-0.43000000715255737|-0.4699999988079071|-0.43000000715255737|-0.44699999690055847|-0.47499999403953552|-0.46000000834465027
995048|4|192071|75|25|31|685|685|5|11|0|0|1.139999986|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.1699999570846558|0|1.0800000429153442|1.2000000476837158|1.0800000429153442|1.190000057220459|0|0|0|0|0|0|0|0|0|0|0|0|0|0
995073|12|192071|75|31|31|18340|18340|2|8|0|0|0|0.4539999962|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.46500000357627869|0|0.43000000715255737|0.47699999809265137|0.43000000715255737|0.4699999988079071|0.43000000715255737|0.44699999690055847|0.47499999403953552|0.46000000834465027
995080|12|192071|111|31|31|685|685|3|8|0|0|0|-4.920000076|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-5.0500001907348633|0|-4.6700000762939453|-5.179999828338623|-4.6700000762939453|-5.1100001335144043|-4.6700000762939453|-4.8499999046325684|-5.1599998474121094|-4.9899997711181641
1017683|4|194789|3|24|24|685|685|1|11|0|0|0|0.002499999944|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.6000000070780516E-3|2.6000000070780516E-3|2.4000001139938831E-3|2.6000000070780516E-3|2.4000001139938831E-3|2.6000000070780516E-3|2.4000001139938831E-3|2.4999999441206455E-3|2.6000000070780516E-3|2.6000000070780516E-3
1017706|12|194789|3|24|24|685|685|2|8|0|0|0|0.001200000057|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.3000000035390258E-3|1.3000000035390258E-3|1.2000000569969416E-3|1.3000000035390258E-3|1.2000000569969416E-3|1.3000000035390258E-3|1.2000000569969416E-3|1.2000000569969416E-3|1.3000000035390258E-3|1.2000000569969416E-3
1017713|12|194789|3|25|24|685|685|5|8|0|0|0.02459999919|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.5399999693036079E-2|2.5399999693036079E-2|2.3099999874830246E-2|2.5399999693036079E-2|2.3099999874830246E-2|2.5200000032782555E-2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1017726|4|194791|3|24|24|10|10|1|11|0|0|0|0.01219999976|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.2900000438094139E-2|0.01360000018030405|1.1900000274181366E-2|1.2900000438094139E-2|1.1900000274181366E-2|1.2400000356137753E-2|1.1900000274181366E-2|1.1900000274181366E-2|1.2900000438094139E-2|1.2199999764561653E-2
1017741|9|194791|3|24|24|10|10|2|15|0|0|0|9.999999747e-05|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
1017768|2|194792|3|24|24|10|10|3|10|0|0|0|0.006300000008|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6.399999838322401E-3|6.5000001341104507E-3|6.3000000081956387E-3|6.5000001341104507E-3|6.3000000081956387E-3|6.399999838322401E-3|6.3000000081956387E-3|6.3000000081956387E-3|6.399999838322401E-3|6.3000000081956387E-3
1017765|2|194792|3|24|24|10|10|2|10|0|0|0|0.0003000000142|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4|3.0000001424923539E-4
1017779|4|194792|3|24|24|685|685|1|11|0|0|0|0.003400000045|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.5000001080334187E-3|3.599999938160181E-3|3.4000000450760126E-3|3.5000001080334187E-3|3.4000000450760126E-3|3.5000001080334187E-3|3.4000000450760126E-3|3.4000000450760126E-3|3.5000001080334187E-3|3.4000000450760126E-3
1017824|2|194793|3|25|24|168|3|5|10|0|0|0.01470000017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.4899999834597111E-2|1.5300000086426735E-2|1.4499999582767487E-2|1.5200000256299973E-2|1.4499999582767487E-2|1.4700000174343586E-2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1277799|4|279421|75|23|8|10|10|2|11|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1.9299999475479126|0|1.8200000524520874|2|1.8200000524520874|1.9800000190734863|0|2
