Id|FK_Asset|Year|FK_Company|FK_OilAndGas|FK_DataQuality|FK_OtherParameter|FK_HistoricCompany|FK_LifeCycleTS|FK_LifeCycle|FK_OilAndGasType|Production|Production Forward Case|Production High Case|Production Low Case|Production Mid Case|Production Low Low Case|Production Mid Low Case|Production Low Low Low Case|Production Mid Low Low Case|Production Mid Mid Low Case|Production Mid Mid Low Low Case
21165844|32645|2059|2770|4|29|12|2770|2|24|11|0|9.999999747e-05|9.999999747e-05|0|9.999999747e-05|0|9.999999747e-05|0|0|9.9999997473787516E-5|0
22011305|238910|2061|1084|9|29|12|1084|2|24|17|0|0|0|0|0|0|0|0|0|0|0
22011333|238914|2061|685|9|29|12|685|14|24|17|0|0|0|0|0|0|0|0|0|0|0
7194040|122542|2027|685|4|29|120|685|17|31|11|-0.01799999923|-0.01799999923|\\N|-0.01799999923|\\N|-0.01799999923|-0.01799999923|-1.7999999225139618E-2|-1.7999999225139618E-2|\\N|-1.7999999225139618E-2
7194073|122542|2027|17835|12|29|12|17835|17|31|8|\\N|\\N|0.06129999831|\\N|0.06129999831|\\N|\\N|\\N|\\N|\\N|\\N
7493678|113026|2028|11168|4|29|12|11168|23|3|11|\\N|\\N|0|\\N|0|\\N|\\N|\\N|\\N|\\N|\\N
7511357|122542|2028|17824|4|29|48|17824|17|31|11|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|0.08789999783039093|\\N
7511360|122542|2028|17824|12|29|12|17824|17|31|8|\\N|\\N|0.398999989|\\N|0.398999989|\\N|\\N|\\N|\\N|\\N|\\N
7511371|122542|2028|17835|12|29|120|17835|17|31|8|-0.202000007|-0.202000007|\\N|-0.202000007|\\N|-0.202000007|-0.202000007|-0.20200000703334808|-0.20200000703334808|\\N|-0.20200000703334808
14597480|97385|2044|16|4|29|84|16|14|9|11|0.1180000007|\\N|\\N|0.1180000007|\\N|0.1180000007|0.1180000007|0.11800000071525574|0.11800000071525574|\\N|0.11800000071525574
14597494|97385|2044|16|9|29|120|16|14|9|17|-0.003700000001|\\N|\\N|-0.003700000001|\\N|-0.003700000001|-0.003700000001|-3.7000000011175871E-3|-3.7000000011175871E-3|\\N|-3.7000000011175871E-3
7060541|32565|2027|168|12|2|12|168|14|14|8|0.3659999967|0.3659999967|0.3659999967|0.3659999967|0.3659999967|0.3659999967|0.3659999967|0.36599999666213989|0.36599999666213989|0.36599999666213989|0.36599999666213989
7060620|32582|2027|18340|2|29|84|18340|23|8|10|\\N|\\N|\\N|0|\\N|0|\\N|0|0|\\N|\\N
7060627|32582|2027|18340|9|29|12|18340|23|8|18|\\N|0|0|\\N|0|\\N|0|\\N|\\N|0|\\N
7060637|32582|2027|18340|9|29|84|18340|23|8|20|\\N|\\N|\\N|0|\\N|0|\\N|0|0|\\N|\\N
7060667|32598|2027|168|9|29|84|168|17|9|17|0|0|0|0|0|0|0|0|0|0|0
7060668|32598|2027|168|9|29|84|168|17|9|18|0|0|0|0|0|0|0|0|0|0|0
7060753|32604|2027|685|4|29|84|685|17|9|11|\\N|\\N|\\N|0.2300000042|\\N|0.2300000042|\\N|0.23000000417232513|0.23000000417232513|\\N|\\N
7060519|32560|2027|10|12|29|12|10|14|14|8|0.1589999944|0.1589999944|0.1589999944|0|0.1589999944|0|0.1589999944|0|0.15899999439716339|0.15899999439716339|0.15899999439716339
7060538|32565|2027|168|4|2|12|168|14|14|11|0.008600000292|0.008600000292|0.008600000292|0.008600000292|0.008600000292|0.008600000292|0.008600000292|8.6000002920627594E-3|8.6000002920627594E-3|8.6000002920627594E-3|8.6000002920627594E-3
7586211|279421|2028|168|12|29|120|168|17|8|8|-1.409999967|-1.409999967|\\N|-1.409999967|\\N|-1.409999967|-1.409999967|-1.4099999666213989|-1.4099999666213989|\\N|-1.4099999666213989
7826741|119380|2029|1084|12|29|84|1084|17|3|6|0.001099999994|\\N|\\N|0.001099999994|\\N|0.001099999994|\\N|1.0999999940395355E-3|1.0999999940395355E-3|\\N|\\N
7911784|279421|2029|10|12|29|12|10|17|8|8|\\N|\\N|1.649999976|\\N|1.649999976|\\N|\\N|\\N|\\N|1.6499999761581421|\\N
7372820|32566|2028|168|2|29|84|168|23|6|10|\\N|\\N|\\N|0|\\N|0|\\N|0|0|\\N|0
7372830|32566|2028|685|4|29|12|685|23|6|11|\\N|0|0|\\N|0|\\N|\\N|\\N|\\N|0|\\N
7372848|32570|2028|168|2|29|12|168|14|14|10|0.01590000093|0.01590000093|0.01590000093|0.01590000093|0.01590000093|0.01590000093|0.01590000093|1.5900000929832458E-2|1.5900000929832458E-2|1.5900000929832458E-2|1.5900000929832458E-2
7372862|32582|2028|685|4|29|12|685|17|8|11|\\N|0.07519999892|0.07519999892|\\N|0.07519999892|\\N|0.07519999892|\\N|\\N|7.5199998915195465E-2|\\N
7372871|32582|2028|685|9|29|48|685|17|8|18|0.001900000032|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|1.9000000320374966E-3
7372908|32582|2028|18340|2|29|84|18340|17|8|10|\\N|\\N|\\N|0.2119999975|\\N|0.2119999975|\\N|0.21199999749660492|0.21199999749660492|\\N|\\N
7573248|237729|2028|685|9|29|120|685|17|9|19|-0.02679999918|-0.02679999918|\\N|-0.02679999918|\\N|-0.02679999918|-0.02679999918|-2.6799999177455902E-2|-2.6799999177455902E-2|\\N|-2.6799999177455902E-2
7573270|237729|2028|12830|12|29|120|12830|17|9|6|-4.380000114|-4.380000114|\\N|-4.380000114|\\N|-4.380000114|-4.380000114|-4.380000114440918|-4.380000114440918|\\N|-4.380000114440918
14789894|280717|2044|168|12|29|84|168|14|6|8|0.08690000325|0.08690000325|\\N|0.08690000325|\\N|0.08690000325|0.08690000325|8.6900003254413605E-2|8.6900003254413605E-2|8.6900003254413605E-2|8.6900003254413605E-2
14789902|280718|2044|10|12|29|120|10|16|6|8|-0.9079999924|-0.9079999924|\\N|-0.9079999924|\\N|-0.9079999924|\\N|-0.90799999237060547|-0.90799999237060547|\\N|-0.90799999237060547
14986494|32580|2045|168|4|29|84|168|14|8|11|0.05119999871|0.05119999871|\\N|0.05119999871|0.05119999871|0.05119999871|0.05119999871|5.1199998706579208E-2|5.1199998706579208E-2|5.1199998706579208E-2|5.1199998706579208E-2
14986500|32580|2045|168|9|29|48|168|14|8|18|\\N|\\N|0.001099999994|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
14986523|32580|2045|685|9|29|84|685|14|8|19|0.001099999994|0.001099999994|\\N|0.001099999994|0.001099999994|0.001099999994|0.001099999994|1.0999999940395355E-3|1.0999999940395355E-3|1.0999999940395355E-3|1.0999999940395355E-3
14986717|32623|2045|685|9|29|12|685|16|24|17|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.999999747e-05|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5|9.9999997473787516E-5
7695102|32582|2029|18247|9|29|84|18247|17|8|17|\\N|\\N|\\N|0.007699999958|\\N|0.007699999958|\\N|7.6999999582767487E-3|7.6999999582767487E-3|\\N|\\N
7695128|32582|2029|18340|9|29|84|18340|17|8|19|\\N|\\N|\\N|0.02439999953|\\N|0.02439999953|\\N|2.4399999529123306E-2|2.4399999529123306E-2|\\N|\\N
7695141|32589|2029|168|4|29|12|168|14|14|11|0.6259999871|0.7969999909|1.00999999|0.5019999743|1.019999981|0.4059999883|0.7540000081|0|0.5910000205039978|0.86599999666213989|0.66299998760223389
7695216|32604|2029|10|12|29|84|10|15|9|6|\\N|\\N|\\N|1.629999995|\\N|1.629999995|\\N|1.6299999952316284|1.6299999952316284|\\N|\\N
7695220|32604|2029|168|4|29|84|168|15|9|11|\\N|\\N|\\N|0.4219999909|\\N|0.4219999909|\\N|0.42199999094009399|0.42199999094009399|\\N|\\N
7695251|32604|2029|685|9|29|48|685|15|9|18|0.003500000108|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N
7695264|32604|2029|685|12|29|84|685|15|9|6|\\N|\\N|\\N|0.753000021|\\N|0.753000021|\\N|0.75300002098083496|0.75300002098083496|\\N|\\N
8025334|32565|2030|10|4|2|12|10|14|14|11|0.01020000037|0.01020000037|0.01020000037|0.01020000037|0.01020000037|0.01020000037|0.01020000037|1.0200000368058681E-2|1.0200000368058681E-2|1.0200000368058681E-2|1.0200000368058681E-2
8025375|32567|2030|168|4|29|12|168|14|14|11|0.1589999944|0.1589999944|0.1589999944|0.1589999944|0.1589999944|0.1589999944|0.1589999944|0|0.15899999439716339|0.15899999439716339|0.15899999439716339
8025406|32582|2030|685|9|29|48|685|15|8|17|0.003899999894|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|\\N|3.8999998942017555E-3
7511346|122542|2028|2770|12|29|84|2770|17|31|8|0.001900000032|0.001900000032|\\N|0.001900000032|\\N|0.001900000032|0.001900000032|1.9000000320374966E-3|1.9000000320374966E-3|\\N|1.9000000320374966E-3
